la ville,the city,the town
les villes,the cities,the towns
le cinéma,the cinema,the movie theater
les cinémas,the cinemas,the movie theaters
le poisson,the fish,
les poissons,the fish,
l'école,the school,
les écoles,the schools,
le lycée,the school,
les lycées,the schools,
l'ordinateur,the computer,
les ordinateurs,the computers,
le PC,the PC,
les PCs,the PCs,
la maison,the house,the home
les maisons,the houses,the homes
le logement,the housing,
les logements,the housings,
le domicile,the residence,
les domiciles,the residences,
la voiture,the car,the auto
les voitures,the cars,the autos
l'auto,the car,
les autos,the cars,
le livre,the book,the volume
les livres,the books,the volumes
l'ouvrage,the book,
les ouvrages,the books,
le téléphone,the phone,the telephone
les téléphones,the phones,the telephones
le portable,the mobile phone,
les portables,the mobile phones,
l'ami,the friend,the buddy
les amis,the friends,the buddies
l'amie,the friend,the buddy
les amies,the friends,the buddies
le copain,the friend,the buddy
les copains,the friends,the buddies
la copine,the friend,the buddy
les copines,the friends,the buddies
le camarade,the comrade,the buddy
les camarades,the comrades,the buddies
la famille,the family,
les familles,the families,
la nourriture,the food,
les nourritures,the foods,
l'aliment,the food,
les aliments,the foods,
l'eau,the water,
les eaux,the waters,
le café,the coffee,
les cafés,the coffees,
le thé,the tea,
les thés,the teas,
le pain,the bread,
les pains,the breads,
le vin,the wine,
les vins,the wines,
le parc,the park,
les parcs,the parks,
la plage,the beach,
les plages,the beaches,
le soleil,the sun,
les soleils,the suns,
la lune,the moon,
les lunes,the moons,
l'étoile,the star,
les étoiles,the stars,
le nuage,the cloud,
les nuages,the clouds,
la pluie,the rain,
les pluies,the rains,
la neige,the snow,
les neiges,the snows,
l'arbre,the tree,
les arbres,the trees,
la fleur,the flower,
les fleurs,the flowers,
le chien,the dog,
les chiens,the dogs,
la chienne,the dog,
les chiennes,the dogs,
le chat,the cat,
les chats,the cats,
la chatte,the cat,
les chattes,the cats,
l'oiseau,the bird,
les oiseaux,the birds,
le travail,the work,the job
les travaux,the works,the jobs
l'emploi,the job,
les emplois,the jobs,
le boulot,the job,the task
les boulots,the jobs,the tasks
l'argent,the money,
les argents,the moneys,
le temps,the time,the weather
les temps,the times,the weather
le jour,the day,
les jours,the days,
la nuit,the night,
les nuits,the nights,
la semaine,the week,
les semaines,the weeks,
le mois,the month,
les mois,the months,
l'année,the year,
les années,the years,
le pays,the country,
les pays,the countries,
la langue,the language,
les langues,the languages,
la musique,the music,
les musiques,the musics,
la chanson,the song,
les chansons,the songs,
le film,the movie,the film
les films,the movies,the films
la photo,the photo,the photograph
les photos,the photos,the photographs
le jeu,the game,
les jeux,the games,
le sport,the sport,
les sports,the sports,
la balle,the bullet,the pellet
les balles,the bullets,the pellets
le joueur,the player,the actor
les joueurs,the players,the actors
la joueuse,the player,
les joueuses,the players,
l'acteur,the actor,
les acteurs,the actors,
l'actrice,the actress,
les actrices,the actresses,
l'équipe,the team,
les équipes,the teams,
le but,the goal,the target
les buts,the goals,the targets
